TEAM,MINS,FGM,FGA,2PM,2PA,3PM,3PA,FTM,FTA,PTS,OFF,DEF,REB,AST,TO,STL,BLK,STK,PF,Fls on:,+/-,GW,GP,W,L,FG%,2P%,3P%,FT%
ADMU,1625.0,174.0,518.0,115.0,282.0,59.0,236.0,104.0,185.0,511.0,93.0,200.0,293.0,133.0,81.0,56.0,20.0,76.0,177.0,180.0,-46.0,25.0,8.0,2.0,6.0,33.59073359073359,40.780141843971634,25.0,56.21621621621622
AdU,1625.0,165.0,488.0,111.0,307.0,54.0,181.0,98.0,147.0,482.0,100.0,255.0,355.0,117.0,127.0,50.0,40.0,90.0,163.0,148.0,-29.0,43.0,8.0,3.0,5.0,33.81147540983606,36.156351791530945,29.834254143646408,66.66666666666667
DLSU,1600.0,220.0,546.0,158.0,356.0,62.0,190.0,104.0,166.0,606.0,141.0,262.0,403.0,170.0,144.0,58.0,26.0,84.0,152.0,164.0,90.0,88.0,8.0,7.0,1.0,40.29304029304029,44.38202247191011,32.63157894736842,62.65060240963855
FEU,1650.0,181.0,531.0,152.0,375.0,29.0,156.0,101.0,149.0,492.0,104.0,268.0,372.0,94.0,121.0,50.0,31.0,81.0,147.0,155.0,-42.0,22.0,8.0,2.0,6.0,34.08662900188324,40.53333333333333,18.58974358974359,67.78523489932886
NU,1600.0,189.0,532.0,147.0,353.0,42.0,179.0,98.0,149.0,518.0,108.0,220.0,328.0,110.0,107.0,50.0,20.0,70.0,187.0,164.0,-31.0,29.0,8.0,2.0,6.0,35.526315789473685,41.64305949008499,23.463687150837988,65.77181208053692
UE,1600.0,175.0,466.0,121.0,294.0,54.0,172.0,110.0,179.0,514.0,78.0,213.0,291.0,105.0,108.0,59.0,23.0,82.0,169.0,177.0,-11.0,56.0,8.0,5.0,3.0,37.55364806866953,41.156462585034014,31.3953488372093,61.452513966480446
UP,1600.0,226.0,517.0,176.0,356.0,50.0,161.0,103.0,163.0,605.0,99.0,255.0,354.0,148.0,123.0,55.0,36.0,91.0,178.0,178.0,85.0,100.0,8.0,7.0,1.0,43.7137330754352,49.438202247191015,31.055900621118013,63.190184049079754
UST,1600.0,206.0,523.0,148.0,305.0,58.0,218.0,90.0,136.0,560.0,90.0,218.0,308.0,144.0,107.0,57.0,14.0,71.0,164.0,154.0,-16.0,50.0,8.0,4.0,4.0,39.38814531548757,48.52459016393443,26.605504587155963,66.17647058823529
League,1612.5,192.0,515.125,141.0,328.5,51.0,186.625,101.0,159.25,536.0,101.625,236.375,338.0,127.625,114.75,54.375,26.25,80.625,167.125,165.0,0.0,51.625,8.0,4.0,4.0,37.272506673137585,42.922374429223744,27.327528466175487,63.42229199372056
