TEAM,2PM,2PA,3PM,3PA,FTM,FTA,OFF,DEF,AST,TO,STL,BLK,PF,Fls on:,+/-,GW,GP,MINS,FGM,FGA,FG%,2P%,3P%,FT%,PTS,REB,STK
DLSU,18.09090909090909,42.09090909090909,5.636363636363637,24.09090909090909,11.727272727272727,19.90909090909091,11.090909090909092,25.818181818181817,12.818181818181818,14.909090909090908,9.818181818181818,2.8181818181818183,20.727272727272727,19.727272727272727,-12.454545454545455,11.0,11.0,200.0,23.727272727272727,66.18181818181819,35.8516483516,42.9805615551,23.3962264151,58.904109589,64.81818181818181,36.90909090909091,12.636363636363637
UP,15.625,40.375,6.5,24.25,14.25,23.25,13.375,25.125,13.75,15.5,7.25,3.375,22.5,21.625,-10.625,11.0,8.0,200.0,22.125,64.625,34.2359767892,38.6996904025,26.8041237113,61.2903225806,65.0,38.5,10.625
UE,15.88888888888889,37.333333333333336,6.888888888888889,24.555555555555557,12.333333333333334,21.555555555555557,13.11111111111111,29.333333333333332,17.77777777777778,15.444444444444445,6.777777777777778,3.5555555555555554,21.88888888888889,21.11111111111111,-0.5555555555555556,40.0,9.0,200.0,22.77777777777778,61.888888888888886,36.8043087971,42.5595238095,28.0542986425,57.2164948454,64.77777777777777,42.44444444444444,10.333333333333334
League,17.460526315789473,40.81578947368421,6.552631578947368,23.539473684210527,12.723684210526315,19.973684210526315,12.56578947368421,29.57894736842105,16.013157894736842,14.710526315789474,6.947368421052632,3.1315789473684212,20.80263157894737,20.513157894736842,0.0,61.25,9.5,200.0,24.013157894736842,64.35526315789474,37.3134328358,42.7788523533,27.8367803242,63.7022397892,67.30263157894737,42.14473684210526,10.078947368421053
UST,19.5,41.2,7.0,23.3,13.7,19.6,11.4,30.5,17.3,14.7,6.6,3.5,19.9,20.7,2.6,78.0,10.0,200.0,26.5,64.5,41.0852713178,47.3300970874,30.0429184549,69.8979591837,73.7,41.9,10.1
FEU,18.22222222222222,48.333333333333336,6.666666666666667,21.88888888888889,9.333333333333334,16.22222222222222,13.555555555555555,31.666666666666668,17.77777777777778,12.777777777777779,7.111111111111111,3.3333333333333335,19.666666666666668,17.11111111111111,3.888888888888889,85.0,9.0,200.0,24.88888888888889,70.22222222222223,35.4430379747,37.7011494253,30.4568527919,57.5342465753,65.77777777777777,45.22222222222222,10.444444444444445
NU,16.6,39.3,7.1,23.8,14.3,21.0,14.0,30.2,16.0,14.7,6.6,3.1,20.3,22.6,5.4,103.0,10.0,200.0,23.7,63.1,37.559429477,42.2391857506,29.8319327731,68.0952380952,68.8,44.2,9.7
ADMU,19.6,38.5,5.6,21.6,14.1,20.7,11.5,34.1,16.6,15.8,3.6,3.1,22.8,21.5,5.8,84.0,10.0,200.0,25.2,60.1,41.9301164725,50.9090909091,25.9259259259,68.115942029,70.1,45.6,6.7
AdU,15.444444444444445,39.44444444444444,7.222222222222222,25.0,12.0,17.77777777777778,13.0,29.555555555555557,16.333333333333332,13.777777777777779,7.666666666666667,2.3333333333333335,18.77777777777778,19.666666666666668,6.0,78.0,9.0,200.0,22.666666666666668,64.44444444444444,35.1724137931,39.1549295775,28.8888888889,67.5,64.55555555555556,42.55555555555556,10.0
