,TEAM,MINS,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,PTS,OFF,DEF,REB,AST,TO,STL,BLK,STK,PF,Fls on:,+/-,GW,GP
J. Lazaro,ADMU,53.1333333333,13.0,25.0,52.0,12.0,23.0,52.17391304347826,1.0,2.0,50.0,2.0,4.0,50.0,29.0,7.0,14.0,21.0,7.0,3.0,1.0,2.0,3.0,5.0,7.0,-24.0,0.0,2.0
F. Edu,ADMU,10.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,2.0,9.0,0.0,2.0
K. Porter,ADMU,37.9333333334,5.0,12.0,41.666666666666664,3.0,8.0,37.5,2.0,4.0,50.0,1.0,4.0,25.0,13.0,4.0,11.0,15.0,0.0,2.0,1.0,0.0,1.0,4.0,2.0,-10.0,0.0,2.0
S. Quitevis,ADMU,57.900000000000006,1.0,5.0,20.0,1.0,2.0,50.0,0.0,3.0,0.0,2.0,2.0,100.0,4.0,0.0,2.0,2.0,8.0,0.0,1.0,0.0,1.0,6.0,2.0,-14.0,0.0,2.0
S. Tuano,ADMU,42.6333333334,9.0,21.0,42.857142857142854,9.0,16.0,56.25,0.0,5.0,0.0,6.0,16.0,37.5,24.0,5.0,3.0,8.0,0.0,4.0,2.0,0.0,2.0,2.0,10.0,-23.0,0.0,2.0
W. Espina,ADMU,26.6666666666,2.0,11.0,18.181818181818183,1.0,4.0,25.0,1.0,7.0,14.285714285714286,4.0,5.0,80.0,9.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,3.0,3.0,2.0,-2.0,0.0,2.0
C. Koon,ADMU,7.3,1.0,3.0,33.333333333333336,1.0,3.0,33.333333333333336,0.0,0.0,0.0,1.0,2.0,50.0,3.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,-2.0,0.0,1.0
K. Ong,ADMU,16.4,2.0,2.0,100.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,-2.0,0.0,2.0
K. Gamber,ADMU,7.8666666667000005,1.0,3.0,33.333333333333336,0.0,0.0,0.0,1.0,3.0,33.333333333333336,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,1.0
I. Espinosa,ADMU,35.4,5.0,14.0,35.714285714285715,5.0,12.0,41.666666666666664,0.0,2.0,0.0,2.0,2.0,100.0,12.0,3.0,5.0,8.0,3.0,2.0,2.0,2.0,4.0,5.0,5.0,-7.0,0.0,2.0
M. Reyes,ADMU,2.4833333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0
A. Bongo,ADMU,40.7,0.0,8.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,2.0,3.0,66.66666666666667,2.0,0.0,3.0,3.0,3.0,0.0,1.0,1.0,2.0,5.0,2.0,-20.0,0.0,2.0
A. Balogun,ADMU,14.616666666699999,2.0,3.0,66.66666666666667,2.0,3.0,66.66666666666667,0.0,0.0,0.0,2.0,5.0,40.0,6.0,2.0,1.0,3.0,2.0,2.0,0.0,2.0,2.0,5.0,4.0,-16.0,0.0,2.0
J. Bahay,ADMU,46.7,4.0,20.0,20.0,1.0,6.0,16.666666666666668,3.0,14.0,21.428571428571427,5.0,6.0,83.33333333333333,16.0,1.0,7.0,8.0,9.0,3.0,0.0,0.0,0.0,2.0,8.0,-19.0,0.0,2.0
F. Dignadice,AdU,1.2166666667000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-5.0,1.0,2.0
R. Mantua,AdU,27.65,5.0,10.0,50.0,2.0,5.0,40.0,3.0,5.0,60.0,3.0,4.0,75.0,16.0,1.0,5.0,6.0,3.0,3.0,2.0,1.0,3.0,1.0,2.0,-7.0,1.0,2.0
J. Barcelona,AdU,7.2666666667,0.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,-15.0,1.0,2.0
J. Calisay,AdU,34.8166666667,0.0,12.0,0.0,0.0,7.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,8.0,10.0,4.0,0.0,2.0,0.0,2.0,1.0,1.0,-9.0,1.0,2.0
M. Erolon,AdU,25.950000000000003,5.0,13.0,38.46153846153846,3.0,6.0,50.0,2.0,7.0,28.571428571428573,1.0,2.0,50.0,13.0,0.0,3.0,3.0,5.0,1.0,2.0,0.0,2.0,2.0,3.0,5.0,1.0,2.0
M. Ojarikre,AdU,46.0,5.0,6.0,83.33333333333333,5.0,6.0,83.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,10.0,4.0,10.0,14.0,0.0,2.0,0.0,8.0,8.0,4.0,2.0,1.0,1.0,2.0
J. Yerro,AdU,38.099999999999994,5.0,15.0,33.333333333333336,3.0,7.0,42.857142857142854,2.0,8.0,25.0,0.0,0.0,0.0,12.0,1.0,2.0,3.0,0.0,4.0,1.0,0.0,1.0,3.0,0.0,-10.0,1.0,2.0
M. Montebon,AdU,41.65,6.0,16.0,37.5,5.0,10.0,50.0,1.0,6.0,16.666666666666668,5.0,7.0,71.42857142857143,18.0,2.0,5.0,7.0,5.0,5.0,4.0,0.0,4.0,3.0,4.0,-7.0,1.0,2.0
E. Ramos,AdU,20.8833333333,0.0,6.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,3.0,4.0,75.0,3.0,2.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,-10.0,1.0,2.0
A. Fransman,AdU,36.95,2.0,12.0,16.666666666666668,1.0,5.0,20.0,1.0,7.0,14.285714285714286,2.0,2.0,100.0,7.0,5.0,11.0,16.0,1.0,1.0,4.0,1.0,5.0,1.0,3.0,-13.0,1.0,2.0
A. Ignacio,AdU,3.8333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.0,1.0,2.0
