,2PM,2PA,3PM,3PA,FTM,FTA,OFF,DEF,AST,TO,STL,BLK,PF,Fls on:,+/-,GW,GP,MINS,FGM,FGA,FG%,2P%,3P%,FT%,PTS,REB,STK
FEU,144.0,384.0,56.0,184.0,78.0,137.0,112.0,257.0,146.0,103.0,62.0,28.0,157.0,145.0,42.0,85.0,8.0,1600.0,200.0,568.0,35.2112676056338,37.5,30.434782608695652,56.934306569343065,534.0,369.0,90.0
NU,131.0,314.0,56.0,193.0,119.0,177.0,116.0,245.0,125.0,115.0,51.0,26.0,167.0,186.0,31.0,77.0,8.0,1600.0,187.0,507.0,36.883629191321496,41.71974522292994,29.015544041450777,67.2316384180791,549.0,361.0,77.0
UE,130.0,293.0,57.0,196.0,94.0,167.0,99.0,237.0,149.0,122.0,49.0,32.0,177.0,164.0,11.0,40.0,8.0,1600.0,187.0,489.0,38.241308793456035,44.36860068259386,29.081632653061224,56.287425149700596,525.0,336.0,81.0
UP,107.0,281.0,43.0,159.0,104.0,169.0,89.0,186.0,96.0,113.0,48.0,25.0,164.0,155.0,-75.0,11.0,7.0,1400.0,150.0,440.0,34.09090909090909,38.07829181494662,27.044025157232703,61.53846153846154,447.0,275.0,73.0
UST,138.0,287.0,42.0,159.0,91.0,132.0,77.0,207.0,117.0,94.0,41.0,25.0,138.0,147.0,6.0,40.0,7.0,1400.0,180.0,446.0,40.35874439461883,48.08362369337979,26.41509433962264,68.93939393939394,493.0,284.0,66.0
DLSU,150.0,347.0,41.0,186.0,93.0,146.0,91.0,208.0,104.0,115.0,76.0,28.0,166.0,150.0,-90.0,11.0,8.0,1600.0,191.0,533.0,35.834896810506564,43.22766570605187,22.043010752688172,63.6986301369863,516.0,299.0,104.0
ADMU,162.0,317.0,40.0,162.0,113.0,171.0,92.0,270.0,127.0,122.0,30.0,22.0,184.0,177.0,46.0,73.0,8.0,1600.0,202.0,479.0,42.17118997912317,51.10410094637224,24.691358024691358,66.08187134502924,557.0,362.0,52.0
AdU,125.0,325.0,55.0,198.0,96.0,147.0,111.0,235.0,123.0,103.0,61.0,18.0,148.0,162.0,29.0,63.0,8.0,1600.0,180.0,523.0,34.41682600382409,38.46153846153846,27.77777777777778,65.3061224489796,511.0,346.0,79.0
League,135.875,318.5,48.75,179.625,98.5,155.75,98.375,230.625,123.375,110.875,52.25,25.5,162.625,160.75,0.0,50.0,7.75,1550.0,184.625,498.125,37.063989962358846,42.66091051805338,27.139874739039666,63.24237560192616,516.5,329.0,77.75
