,2PM,2PA,3PM,3PA,FTM,FTA,OFF,DEF,AST,TO,STL,BLK,PF,Fls on:,+/-,GW,GP,MINS,FGM,FGA,FG%,2P%,3P%,FT%,PTS,REB,STK
DLSU,60.0,137.0,10.0,68.0,38.0,55.0,41.0,78.0,45.0,44.0,28.0,7.0,53.0,56.0,-46.0,0.0,3.0,600.0,70.0,205.0,34.146341463414636,43.7956204379562,14.705882352941176,69.0909090909091,188.0,119.0,35.0
NU,64.0,142.0,18.0,66.0,45.0,60.0,51.0,95.0,58.0,48.0,21.0,13.0,53.0,67.0,28.0,28.0,3.0,600.0,82.0,208.0,39.42307692307692,45.070422535211264,27.272727272727273,75.0,227.0,146.0,34.0
UST,54.0,119.0,14.0,64.0,38.0,48.0,27.0,91.0,51.0,38.0,14.0,8.0,56.0,58.0,-12.0,14.0,3.0,600.0,68.0,183.0,37.15846994535519,45.378151260504204,21.875,79.16666666666667,188.0,118.0,22.0
UP,53.0,129.0,12.0,63.0,52.0,93.0,45.0,70.0,40.0,40.0,22.0,10.0,75.0,76.0,-53.0,0.0,3.0,600.0,65.0,192.0,33.854166666666664,41.08527131782946,19.047619047619047,55.913978494623656,194.0,115.0,32.0
FEU,47.0,128.0,17.0,68.0,32.0,55.0,42.0,94.0,46.0,41.0,27.0,15.0,56.0,58.0,19.0,43.0,3.0,600.0,64.0,196.0,32.6530612244898,36.71875,25.0,58.18181818181818,177.0,136.0,42.0
ADMU,69.0,134.0,16.0,66.0,39.0,58.0,46.0,104.0,60.0,44.0,14.0,9.0,74.0,63.0,39.0,39.0,3.0,600.0,85.0,200.0,42.5,51.492537313432834,24.242424242424242,67.24137931034483,225.0,150.0,23.0
UE,55.0,122.0,21.0,70.0,29.0,56.0,38.0,97.0,61.0,45.0,16.0,11.0,70.0,61.0,20.0,28.0,3.0,600.0,76.0,192.0,39.583333333333336,45.08196721311475,30.0,51.785714285714285,202.0,135.0,27.0
AdU,47.0,118.0,23.0,85.0,22.0,36.0,37.0,90.0,58.0,40.0,24.0,2.0,53.0,47.0,5.0,14.0,3.0,600.0,70.0,203.0,34.48275862068966,39.83050847457627,27.058823529411764,61.111111111111114,185.0,127.0,26.0
League,56.125,128.625,16.375,68.75,36.875,57.625,40.875,89.875,52.375,42.5,20.75,9.375,61.25,60.75,0.0,20.75,3.0,600.0,72.5,197.375,36.73210892970234,43.63459669582119,23.818181818181817,63.99132321041215,198.25,130.75,30.125
