TEAM,2PM,2PA,3PM,3PA,FTM,FTA,OFF,DEF,AST,TO,STL,BLK,PF,Fls on:,+/-,GW,GP,MINS,FGM,FGA,FG%,2P%,3P%,FT%,PTS,REB,STK
UP,15.0,44.0,4.0,22.0,19.0,40.0,18.0,22.0,19.0,9.0,7.0,4.0,26.0,29.0,-16.0,0,1,200.0,19.0,66.0,28.7878787879,34.0909090909,18.1818181818,47.5,61.0,40.0,11.0
UST,13.0,39.0,3.0,17.0,20.0,26.0,10.0,25.0,12.0,14.0,4.0,0.0,18.0,24.0,-15.0,0,1,200.0,16.0,56.0,28.5714285714,33.3333333333,17.6470588235,76.9230769231,55.0,35.0,4.0
AdU,19.0,52.0,1.0,21.0,6.0,9.0,16.0,27.0,14.0,12.0,6.0,1.0,19.0,16.0,-12.0,0,1,200.0,20.0,73.0,27.397260274,36.5384615385,4.7619047619,66.6666666667,47.0,43.0,7.0
DLSU,30.0,57.0,2.0,22.0,9.0,10.0,17.0,28.0,17.0,15.0,8.0,1.0,23.0,12.0,-3.0,0,1,200.0,32.0,79.0,40.5063291139,52.6315789474,9.0909090909,90.0,75.0,45.0,9.0
League,19.375,44.125,4.5,23.0,13.0,19.625,15.25,29.5,18.125,14.375,6.125,3.5,21.0,20.75,0.0,7,1,200.0,23.875,67.125,35.5679702048,43.9093484419,19.5652173913,66.2420382166,65.25,44.75,9.625
NU,22.0,51.0,7.0,25.0,13.0,16.0,21.0,28.0,21.0,19.0,8.0,6.0,12.0,23.0,3.0,12,1,200.0,29.0,76.0,38.1578947368,43.137254902,28.0,81.25,78.0,49.0,14.0
FEU,12.0,34.0,7.0,30.0,14.0,18.0,17.0,39.0,15.0,16.0,8.0,9.0,16.0,19.0,12.0,16,1,200.0,19.0,64.0,29.6875,35.2941176471,23.3333333333,77.7777777778,59.0,56.0,17.0
UE,20.0,32.0,7.0,32.0,9.0,14.0,12.0,32.0,24.0,14.0,6.0,1.0,24.0,17.0,15.0,14,1,200.0,27.0,64.0,42.1875,62.5,21.875,64.2857142857,70.0,44.0,7.0
ADMU,24.0,44.0,5.0,15.0,14.0,24.0,11.0,35.0,23.0,16.0,2.0,6.0,30.0,26.0,16.0,14,1,200.0,29.0,59.0,49.1525423729,54.5454545455,33.3333333333,58.3333333333,77.0,46.0,8.0
