PLAYER,TEAM,SP,GP,MPG,EWA,PER,WS,OWS,DWS,EFF,GmSc,TS%,EFG%,PPWS,FTR,REB%,OREB%,DREB%,AR,pAST%,hAST%,TOR,hTO%,AST/TO,STL/TO,PPR,USG%,STL%,BLK%,aSP,ORtg,DRtg,Floor%,Stop%,FFI,PIE,AV,DRE/100,DRE/75,POS
M. Tounkara,UST,60.4,10.0,28.47333333334,2.1247005888003985,25.81876439998057,1.2332409355222462,1.174785509875725,0.058455425646521314,17.3,10.929999999999996,58.13033850047453,55.65217391304348,1.1626067700094906,0.22608695652173913,15.455006633883839,9.153444178590199,22.07236492976167,2.062010023331725,8.825629363229448,6.856145599601097,4.31147550332997,14.335577162802293,0.4782608695652174,0.2608695652173913,-5.383805021384267,23.959239950469136,,51.297565844032114,59.721348314606736,104.30553527056652,94.81988228447254,48.45739184495627,0.6055190667093555,51.404993872929026,11.153846153846153,2.271513292703773,9.20604556832786,6.904534176245896,53.34600644776002
N. Cabanero,UST,59.0,11.0,29.457575757572727,1.9364652437322478,22.832020800027422,1.2071937252991696,1.3049601844239855,-0.09776645912481599,12.454545454545455,9.963636363636361,47.56811528934925,44.11764705882353,0.951362305786985,0.3660130718954248,9.00284607207856,5.957984826552964,12.200297175010904,3.45912300460499,14.385207481028372,9.969616407140144,1.976641716917137,5.6969236612229395,1.75,0.9166666666666666,0.6039365859743865,26.716819029337262,,7.512666862803383,58.33707865168539,101.29365249569089,98.54669388614964,48.67525167482602,0.5209516012047537,48.83469143804209,8.931623931623932,1.9068701949840063,5.44141679731141,4.081062597983557,55.19002667871059
C. Manaytay,UST,39.18181818181818,11.0,21.057575757572724,0.9840012787368421,19.358678530413027,0.7069653670073357,0.7173328509752466,-0.01036748396791087,8.909090909090908,5.954545454545453,56.87377690802348,51.449275362318836,1.1374755381604695,0.42028985507246375,8.538398810381619,5.834263829219545,11.378048528640655,3.4564207314275937,12.777866756683043,12.846865364850975,4.6085609752367915,17.129153819801303,0.75,0.55,-4.224253527311306,20.054901432344845,,31.52855140594964,38.741573033707866,100.6705969908812,96.65792120714443,46.242772818757494,0.5638109500127076,51.89877049304919,5.427350427350428,1.4832018620846863,3.9183379191133754,2.9387534393350316,39.452267810960194
F. Padrigao,UST,59.72727272727273,11.0,26.725757575763637,0.9440510345745275,17.274592367462,0.5278208219270837,0.5499358560023838,-0.022115034075300105,10.0,6.50909090909091,43.11747478034494,41.30434782608695,0.8623494956068988,0.1565217391304348,6.559328760132306,1.6417475621889637,11.723349106947525,11.982781077816016,43.53483490878856,29.875067897881586,5.80983324985019,14.484881405033494,2.0625,0.46875,3.9940138685334143,24.056324252383853,,0.0,59.056179775280896,88.85742104067518,96.8818704590602,37.35700543640236,0.5587291743126305,42.74545641736655,7.222222222222222,1.6174289758856157,4.0725153732725285,3.0543865299543964,50.071848605395374
G. Crisostomo,UST,32.63636363636363,11.0,18.454545454545453,0.4601668471325838,15.376331836140363,0.5006878145534771,0.3953515236367403,0.10533629091673678,9.090909090909092,4.127272727272727,48.03586678052946,45.23809523809524,0.9607173356105891,0.2619047619047619,17.536945812807883,9.510274301956551,25.965865098690486,1.8405109320066584,6.198881614296233,11.319534282018111,2.103441065150467,12.936610608020699,0.875,0.375,-1.6066961007817202,12.332351615387573,,107.92704616744457,32.26966292134831,100.2822915667578,92.51477834911104,47.68087412914277,0.6578256543164357,48.40000411791322,4.829059829059829,1.5058465048420853,8.852289044406914,6.639216783305185,34.57537933066372
K. Paranada,UST,25.818181818181817,11.0,10.554545454536365,0.40853632597542455,17.89285112154445,0.2535829130345098,0.3104572569156454,-0.05687434388113562,4.0,2.609090909090909,56.31625441696113,53.75,1.1263250883392226,0.3,5.110536893487032,1.6628644989654116,8.730985581128186,9.654359669190528,36.28323050823861,25.216138328530256,7.815434017916142,20.413064361191164,1.2352941176470589,0.23529411764705882,-2.528366732240079,24.488426168935092,,0.0,25.528089887640448,93.33550778219042,99.92973413576087,39.44878046610663,0.4895681503890912,49.37871439531405,2.4786324786324787,0.8135237057665631,1.005105558886975,0.7538291691652312,19.774391824071923
C. Lane,UST,17.5,8.0,8.239583333325,0.17941006258715098,16.29075943060235,0.19099637730464963,0.22266391303534122,-0.03166753573069159,2.625,1.9749999999999996,53.99568034557235,46.666666666666664,1.079913606911447,0.5333333333333333,5.250737463132155,4.393241757191452,6.151205619028883,3.2389269498809865,10.9551382983763,16.31321370309951,1.6194634749404933,8.156606851549755,2.0,1.5,0.989611049686025,14.211064462911754,,0.0,17.303370786516854,113.06836985256403,99.860227802048,50.94968115038077,0.4911453630595598,52.140449149369836,1.1538461538461537,0.46713797772820015,3.268142955335363,2.451107216501522,15.43721138935759
M. Llemit,UST,27.09090909090909,11.0,16.30909090909091,0.01299226344204381,10.965565493414204,0.16199450009105837,0.1848407064957072,-0.022846206404648815,4.636363636363637,2.4727272727272736,40.12841091492776,36.666666666666664,0.8025682182985553,0.24444444444444444,9.370741979437632,6.456808305341738,12.430704220344706,3.8677403643618185,12.657867789282056,18.095768374164813,2.6776664060966433,12.52783964365256,1.4444444444444444,0.7777777777777778,-0.18180563459235777,14.97251358538401,,27.138845995282107,26.786516853932582,87.87707137004892,97.26499502633246,37.62057384892303,0.5500354497325678,43.95527839287752,1.9658119658119657,0.9087791140485161,1.9364720839071687,1.4523540629303766,30.555778580891978
G. Robinson,UST,17.88888888888889,9.0,10.251851851866668,-0.024469504353201367,10.286939626988472,0.08207241575124366,0.10520500529548864,-0.023132589544244977,2.7777777777777777,1.4333333333333336,39.12071535022355,34.090909090909086,0.7824143070044709,0.5,9.11006743736641,5.230994445342459,13.183535886849423,4.627874308796182,15.23611701563629,20.597322348094746,2.313937154398091,10.298661174047373,2.0,0.75,1.4139854412928519,15.258576829729302,,0.0,17.68789013732834,88.64753829203505,98.17179880710538,43.07227492786308,0.5294585852043349,46.604078236832606,0.811965811965812,0.53239713749995,2.4763784758847205,1.8572838569135404,19.207282427687836
I. Calum,UST,12.4,5.0,4.7700000000000005,0.059558912802207264,15.83943038710426,0.07375996834123129,0.06654390343954071,0.007216064901690582,2.0,1.1,33.33333333333333,33.33333333333333,0.6666666666666666,0.0,12.43885394828791,16.189397763498366,8.500355773317478,4.475875641777199,13.9063586434269,40.0,0.0,0.0,inf,inf,5.470177081068163,5.742187399189126,,0.0,12.26067415730337,129.43794758413338,94.10496347110805,60.18920053204418,0.6217417467237102,41.571212886033,0.3418803418803419,0.2677815834239758,6.938903489396238,5.204177617047178,8.936798785615396
