PLAYER,TEAM,SP,GP,MPG,EWA,PER,WS,OWS,DWS,EFF,GmSc,TS%,EFG%,PPWS,FTR,REB%,OREB%,DREB%,AR,pAST%,hAST%,TOR,hTO%,AST/TO,STL/TO,PPR,USG%,STL%,BLK%,aSP,ORtg,DRtg,Floor%,Stop%,FFI,PIE,AV,DRE/100,DRE/75,POS
I. Manansala,NU,39.72727272727273,11.0,22.757575757563636,1.0519004512147054,19.2660182700773,0.9051003981692752,0.6629320677003562,0.24216833046891903,9.545454545454545,6.09090909090909,46.09650843468026,40.229885057471265,0.9219301686936052,0.39080459770114945,12.554688986120441,8.956211251245156,16.1839888000953,2.6233730573455003,10.74801867333284,9.377930603313535,3.060601900236417,10.940919037199125,0.8571428571428571,0.6428571428571429,-2.43193535158685,21.04338841953763,,0.0,39.72727272727273,96.36087921078914,89.29809091606423,47.115677182823404,0.6304293544830641,47.980114763695674,8.417308832246592,1.5619699684601278,5.810442045116917,4.357831533837688,457.42636436704055
S. Enriquez,NU,31.90909090909091,11.0,17.903030303036363,0.8785753964806786,19.787179486758124,0.7052940807773747,0.6339447725966271,0.07134930818074753,6.2727272727272725,4.9,52.175191064079954,47.540983606557376,1.043503821281599,0.26229508196721313,4.287489912848459,2.371824450490596,6.219563644691187,6.947335414073976,27.00384927595821,23.35575485799701,3.8905078318814263,13.079222720478326,1.7857142857142858,0.7142857142857143,1.3739437666742904,18.924855269574433,,2396242.3832083964,31.90909090909091,102.32261639473883,93.6957574749491,41.652058038792276,0.5298795557574334,47.45255760425891,6.757557794902193,1.140033263767942,3.5445536145775636,2.658415210933173,359.8501944983795
J. Figueroa,NU,52.18181818181818,11.0,30.30454545454546,0.7835993919672686,15.544868090158122,0.6992438231053865,0.3599833607840401,0.3392604623213464,11.272727272727273,6.281818181818182,45.78331794398276,41.73913043478261,0.9156663588796552,0.2956521739130435,10.835279131565809,4.764093005540806,16.958466851818006,5.089307880274991,20.812480164058492,15.819555011226779,5.7459927680524086,17.860787915901202,0.8857142857142857,0.3142857142857143,-4.362808987814627,22.48041558440786,,2831258.437078146,52.18181818181818,84.8651390847413,88.93217431065311,40.41614097445213,0.6387958007635625,45.64675519170376,10.01778304682869,1.769485340951125,3.1233133446362253,2.342485008477169,609.1201540419476
K. Padrones,NU,29.818181818181817,11.0,19.465151515145454,0.7686597391824841,18.035720755463256,0.6800917999579534,0.5552702546956034,0.12482154526234995,8.363636363636363,4.781818181818181,54.498269896193776,54.08163265306123,1.0899653979238755,0.40816326530612246,12.9256197633895,12.652585872241579,13.200992274590083,1.5335511528497197,6.02548964711559,7.8125,3.322694164507726,16.927083333333336,0.46153846153846156,0.23076923076923078,-4.264925933777506,15.021348812330908,,17631509.301788006,29.818181818181817,101.84854423871037,92.09203513584362,49.72513738810011,0.5665476287569796,54.45494567413771,5.394190871369295,1.4145606597339633,2.297673234982348,1.723254926236761,391.2487685102976
G. Santiago,NU,15.727272727272727,11.0,9.11060606060909,0.08809924329742341,12.586966363157448,0.2722053114585189,0.16851076061299866,0.10369455084552023,2.6363636363636362,1.5090909090909088,41.254125412541256,28.57142857142857,0.8250825082508251,0.6785714285714286,10.765587141147948,6.5251403275895346,15.042354698291444,1.0921631831391796,3.823515780690987,4.721435316336167,2.184326366278359,9.442870632672333,0.5,1.0,-2.699903466992102,18.29520799150033,,4708797.605187192,15.727272727272727,91.81304306061766,88.80881532981579,40.53730966198409,0.6416163239951683,47.36608933109118,1.1855364552459988,0.5950852744908703,5.429936661424418,4.072452496068314,183.12281817186383
P. Palacielo,NU,35.0,11.0,19.813636363636363,0.22988257405015372,12.94004576205923,0.2647985363753347,-0.04758034031903944,0.31237887669437414,7.2727272727272725,3.1818181818181825,38.40488215488215,37.5,0.7680976430976431,0.18181818181818182,13.774407874108958,8.143826205293585,19.45321722317114,2.510964754996586,10.660154281505603,8.12743823146944,4.519736558993855,14.629388816644992,0.5555555555555556,0.3888888888888889,-5.276187816385473,23.561417916671104,,17321403.991741225,35.0,76.68537346072408,85.91215646835148,38.67445205206491,0.7078465535037253,43.22610382858298,3.6158861885002964,1.2737910570979467,1.5102066233686264,1.1326549675264699,398.2533000553246
P. Francisco,NU,18.454545454545453,11.0,9.971212121199999,0.31232815866205077,16.54356419004545,0.24795742315066066,0.1507769989041149,0.09718042424654576,3.1818181818181817,2.1999999999999997,42.857142857142854,42.857142857142854,0.8571428571428571,0.0,6.84272647659709,6.813670313214511,6.87203151504076,2.993698778404219,12.291113152752134,11.11111111111111,2.993698778404219,11.11111111111111,1.0,1.3333333333333333,-1.8501579790740739,19.88047442093852,,8604771.31136132,18.454545454545453,88.41382484769113,89.88951138209698,37.42311689527639,0.6169069084254686,42.75716651089898,2.3710729104919976,0.6852226948341995,1.9579385607379318,1.4684539205534488,200.4209656389772
N. Tulabut,NU,14.25,8.0,6.3750000000125,0.2006711968587875,18.728805993830825,0.15283146187192773,0.10040216136565089,0.052429300506276845,3.0,1.625,48.36309523809524,50.0,0.9672619047619048,0.07692307692307693,12.876792508022746,10.990383414490752,14.779359281156728,6.4384090394168565,25.345622119753376,25.597269624573382,4.292272692944571,17.064846416382252,1.5,0.5,0.0,15.534685006374842,,9252941.176452445,14.25,94.58107614191702,88.85735138971376,43.50771160198745,0.6405065784088833,47.27885466350816,1.7190278601066984,0.5163440020627684,5.376372966450313,4.032279724837735,93.19072403239909
D. Lim,NU,16.363636363636363,11.0,13.822727272727274,-0.3797603505400219,5.799820423640619,0.12200090704754708,0.01926580495938178,0.1027351020881653,2.4545454545454546,0.890909090909091,35.317860746720484,32.432432432432435,0.7063572149344097,0.16216216216216217,7.095634712237655,1.2287834136580673,13.012737413802936,1.4396968585373386,5.033633826019311,8.576329331046312,1.079772643903004,6.432246998284734,1.3333333333333333,1.6666666666666667,-0.22243943257465895,12.739633043485675,,0.0,16.363636363636363,79.61313801326831,91.41825718146666,32.222309684482944,0.581953125465568,40.38121892716127,0.8298755186721992,0.5640317198367825,2.0544190279541272,1.5408142709655954,277.83626645291173
T. Garcia,NU,18.666666666666668,9.0,10.716666666666667,0.04272122506019323,11.710302357397495,0.10147169268217254,0.1081451047592619,-0.006673412077089354,2.6666666666666665,1.4111111111111114,53.60878661087865,48.275862068965516,1.0721757322175731,0.7241379310344828,3.890788227270667,1.9371334167621475,5.8611766978263695,6.808892918836776,28.492488343982043,18.115942028985504,9.078523891782368,24.154589371980673,0.75,0.125,-8.416028795764076,25.547216942347017,,0.0,18.666666666666668,84.06574123793115,96.83179524885884,42.74556893970528,0.4581760823948331,53.29020950351028,0.35566093657379966,0.5163440020627684,-6.378135085632784,-4.783601314224588,176.24010456680918
