TEAM,2PM,2PA,3PM,3PA,FTM,FTA,OFF,DEF,AST,TO,STL,BLK,PF,Fls on:,+/-,GW,GP,MINS,FGM,FGA,FG%,2P%,3P%,FT%,PTS,REB,STK
DLSU,18.285714285714285,43.142857142857146,5.428571428571429,24.285714285714285,11.142857142857142,17.571428571428573,12.285714285714286,26.428571428571427,13.714285714285714,15.285714285714286,9.571428571428571,3.5714285714285716,20.571428571428573,19.0,-11.571428571428571,11,7.0,200.0,23.714285714285715,67.42857142857143,35.1694915254,42.3841059603,22.3529411765,63.4146341463,64.0,38.714285714285715,13.142857142857142
UP,15.285714285714286,40.142857142857146,6.142857142857143,22.714285714285715,14.857142857142858,24.142857142857142,12.714285714285714,26.571428571428573,13.714285714285714,16.142857142857142,6.857142857142857,3.5714285714285716,23.428571428571427,22.142857142857142,-10.714285714285714,11,7.0,200.0,21.428571428571427,62.857142857142854,34.0909090909,38.0782918149,27.0440251572,61.5384615385,63.857142857142854,39.285714285714285,10.428571428571429
League,17.5,41.12068965517241,6.258620689655173,23.189655172413794,12.586206896551724,19.79310344827586,12.637931034482758,29.913793103448278,15.948275862068966,14.448275862068966,6.879310344827586,3.2586206896551726,20.948275862068964,20.74137931034483,0.0,47,7.25,200.0,23.75862068965517,64.3103448275862,36.9436997319,42.5576519916,26.9888475836,63.5888501742,66.36206896551724,42.55172413793103,10.137931034482758
UE,16.0,35.714285714285715,7.0,24.857142857142858,11.0,19.857142857142858,11.142857142857142,29.428571428571427,18.142857142857142,15.0,6.857142857142857,3.7142857142857144,22.714285714285715,20.571428571428573,0.2857142857142857,28,7.0,200.0,23.0,60.57142857142857,37.9716981132,44.8,28.1609195402,55.3956834532,64.0,40.57142857142857,10.571428571428571
UST,19.714285714285715,41.0,6.0,22.714285714285715,13.0,18.857142857142858,11.0,29.571428571428573,16.714285714285715,13.428571428571429,5.857142857142857,3.5714285714285716,19.714285714285715,21.0,0.8571428571428571,40,7.0,200.0,25.714285714285715,63.714285714285715,40.3587443946,48.0836236934,26.4150943396,68.9393939394,70.42857142857143,40.57142857142857,9.428571428571429
AdU,15.625,40.625,6.875,24.75,12.0,18.375,13.875,29.375,15.375,12.875,7.625,2.25,18.5,20.25,3.625,63,8.0,200.0,22.5,65.375,34.4168260038,38.4615384615,27.7777777778,65.306122449,63.875,43.25,9.875
NU,16.285714285714285,39.0,7.142857142857143,24.571428571428573,14.428571428571429,20.857142857142858,14.571428571428571,31.0,16.285714285714285,15.0,6.428571428571429,3.4285714285714284,21.0,22.857142857142858,4.142857142857143,65,7.0,200.0,23.428571428571427,63.57142857142857,36.8539325843,41.7582417582,29.0697674419,69.1780821918,68.42857142857143,45.57142857142857,9.857142857142858
FEU,18.0,48.0,7.0,23.0,9.75,17.125,14.0,32.125,18.25,12.875,7.75,3.5,19.625,18.125,5.25,85,8.0,200.0,25.0,71.0,35.2112676056,37.5,30.4347826087,56.9343065693,66.75,46.125,11.25
ADMU,21.0,40.42857142857143,4.285714285714286,18.428571428571427,15.0,22.142857142857142,11.142857142857142,34.57142857142857,15.142857142857142,15.428571428571429,3.857142857142857,2.5714285714285716,22.571428571428573,22.428571428571427,6.857142857142857,73,7.0,200.0,25.285714285714285,58.857142857142854,42.9611650485,51.9434628975,23.2558139535,67.7419354839,69.85714285714286,45.714285714285715,6.428571428571429
