TEAM,MINS,FGM,FGA,2PM,2PA,3PM,3PA,FTM,FTA,PTS,OFF,DEF,REB,AST,TO,STL,BLK,STK,PF,Fls on:,+/-,GW,GP,W,L,FG%,2P%,3P%,FT%,W%
DLSU,200.0,27.714285714285715,68.71428571428571,20.0,44.714285714285715,7.714285714285714,24.0,12.428571428571429,19.714285714285715,75.57142857142857,17.142857142857142,33.0,50.142857142857146,21.142857142857142,18.142857142857142,8.142857142857142,2.857142857142857,11.0,19.142857142857142,20.571428571428573,11.571428571428571,76,7.0,6.0,1.0,40.3326403326,44.7284345048,32.1428571429,63.0434782609,0.8571428571428571
UP,200.0,27.714285714285715,65.42857142857143,21.857142857142858,45.42857142857143,5.857142857142857,20.0,13.285714285714286,21.714285714285715,74.57142857142857,13.0,32.0,45.0,18.285714285714285,14.714285714285714,6.857142857142857,4.571428571428571,11.428571428571429,22.571428571428573,23.142857142857142,10.714285714285714,87,7.0,6.0,1.0,42.3580786026,48.1132075472,29.2857142857,61.1842105263,0.8571428571428571
UE,200.0,21.428571428571427,57.857142857142854,14.142857142857142,35.57142857142857,7.285714285714286,22.285714285714285,13.571428571428571,22.285714285714285,63.714285714285715,10.428571428571429,27.142857142857142,37.57142857142857,13.857142857142858,14.285714285714286,7.142857142857143,2.857142857142857,10.0,21.0,22.857142857142858,-0.2857142857142857,56,7.0,5.0,2.0,37.037037037,39.7590361446,32.6923076923,60.8974358974,0.7142857142857143
UST,200.0,25.571428571428573,63.714285714285715,18.571428571428573,37.57142857142857,7.0,26.142857142857142,11.428571428571429,17.0,69.57142857142857,10.285714285714286,29.0,39.285714285714285,18.571428571428573,13.714285714285714,6.714285714285714,1.7142857142857142,8.428571428571429,21.142857142857142,19.428571428571427,-0.8571428571428571,50,7.0,4.0,3.0,40.134529148,49.4296577947,26.7759562842,67.2268907563,0.5714285714285714
League,201.72413793103448,23.75862068965517,64.3103448275862,17.5,41.12068965517241,6.258620689655173,23.189655172413794,12.586206896551724,19.79310344827586,66.36206896551724,12.637931034482758,29.913793103448278,42.55172413793103,15.948275862068966,14.448275862068966,6.879310344827586,3.2586206896551726,10.137931034482758,20.948275862068964,20.74137931034483,0.0,47,7.25,3.625,3.625,36.9436997319,42.5576519916,26.9888475836,63.5888501742,0.5
AdU,203.125,20.625,61.0,13.875,38.375,6.75,22.625,12.25,18.375,60.25,12.5,31.875,44.375,14.625,15.875,6.25,5.0,11.25,20.375,18.5,-3.625,43,8.0,3.0,5.0,33.8114754098,36.1563517915,29.8342541436,66.6666666667,0.375
NU,200.0,23.428571428571427,66.42857142857143,18.857142857142858,45.57142857142857,4.571428571428571,20.857142857142858,12.857142857142858,19.0,64.28571428571429,13.428571428571429,27.428571428571427,40.857142857142854,12.714285714285714,13.285714285714286,6.714285714285714,2.2857142857142856,9.0,23.0,20.571428571428573,-4.142857142857143,29,7.0,2.0,5.0,35.2688172043,41.3793103448,21.9178082192,67.6691729323,0.2857142857142857
FEU,206.25,22.625,66.375,19.0,46.875,3.625,19.5,12.625,18.625,61.5,13.0,33.5,46.5,11.75,15.125,6.25,3.875,10.125,18.375,19.375,-5.25,22,8.0,2.0,6.0,34.0866290019,40.5333333333,18.5897435897,67.7852348993,0.25
ADMU,203.57142857142858,21.571428571428573,65.14285714285714,14.0,34.42857142857143,7.571428571428571,30.714285714285715,12.285714285714286,22.0,63.0,11.285714285714286,24.571428571428573,35.857142857142854,17.428571428571427,10.142857142857142,7.142857142857143,2.5714285714285716,9.714285714285714,22.428571428571427,22.0,-6.857142857142857,13,7.0,1.0,6.0,33.1140350877,40.6639004149,24.6511627907,55.8441558442,0.14285714285714285
