TEAM,MINS,FGM,FGA,2PM,2PA,3PM,3PA,FTM,FTA,PTS,OFF,DEF,REB,AST,TO,STL,BLK,STK,PF,Fls on:,+/-,GW,GP,W,L,FG%,2P%,3P%,FT%,W%
DLSU,202.08333333333334,27.083333333333332,67.16666666666667,19.083333333333332,42.25,8.0,24.916666666666668,13.5,20.5,75.66666666666667,16.0,33.583333333333336,49.583333333333336,21.083333333333332,18.666666666666668,7.0,3.5,10.5,19.833333333333332,19.75,11.833333333333334,140.0,12.0,11.0,1.0,40.3225806452,45.16765286,32.1070234114,65.8536585366,0.9166666666666666
UP,200.0,27.181818181818183,64.27272727272727,21.363636363636363,42.81818181818182,5.818181818181818,21.454545454545453,12.272727272727273,20.454545454545453,72.45454545454545,13.363636363636363,30.636363636363637,44.0,17.636363636363637,16.818181818181817,7.454545454545454,4.0,11.454545454545455,21.363636363636363,21.90909090909091,9.454545454545455,129.0,11.0,9.0,2.0,42.2913719943,49.8938428875,27.1186440678,60.0,0.8181818181818182
UE,200.0,21.5,60.0,14.666666666666666,36.833333333333336,6.833333333333333,23.166666666666668,12.083333333333334,19.416666666666668,61.916666666666664,10.666666666666666,26.833333333333332,37.5,13.083333333333334,14.666666666666666,6.916666666666667,2.75,9.666666666666666,21.0,20.666666666666668,-1.6666666666666667,72.0,12.0,6.0,6.0,35.8333333333,39.8190045249,29.4964028777,62.2317596567,0.5
League,201.53061224489795,23.520408163265305,64.21428571428571,17.051020408163264,40.03061224489796,6.469387755102041,24.183673469387756,11.96938775510204,19.010204081632654,65.4795918367347,12.744897959183673,29.387755102040817,42.13265306122449,15.275510204081632,15.326530612244898,6.826530612244898,3.0918367346938775,9.918367346938776,20.051020408163264,19.744897959183675,0.0,78.75,12.25,6.125,6.125,36.6279993644,42.5949528422,26.7510548523,62.962962963,0.5
UST,201.92307692307693,25.923076923076923,66.76923076923077,18.23076923076923,38.15384615384615,7.6923076923076925,28.615384615384617,11.846153846153847,18.46153846153846,71.38461538461539,12.307692307692308,28.384615384615383,40.69230769230769,16.76923076923077,14.538461538461538,7.153846153846154,2.076923076923077,9.23076923076923,20.76923076923077,19.076923076923077,-1.0,74.0,13.0,6.0,7.0,38.8248847926,47.7822580645,26.8817204301,64.1666666667,0.46153846153846156
AdU,202.08333333333334,19.833333333333332,59.916666666666664,13.083333333333334,35.416666666666664,6.75,24.5,10.583333333333334,16.75,57.0,11.833333333333334,31.166666666666668,43.0,13.75,17.583333333333332,6.416666666666667,4.083333333333333,10.5,19.083333333333332,17.916666666666668,-3.75,70.0,12.0,5.0,7.0,33.1015299026,36.9411764706,27.5510204082,63.184079602,0.4166666666666667
FEU,203.84615384615384,23.0,65.76923076923077,18.615384615384617,45.23076923076923,4.384615384615385,20.53846153846154,11.461538461538462,17.0,61.84615384615385,13.076923076923077,32.61538461538461,45.69230769230769,11.692307692307692,15.076923076923077,6.0,4.076923076923077,10.076923076923077,16.53846153846154,18.46153846153846,-2.3076923076923075,52.0,13.0,5.0,8.0,34.9707602339,41.156462585,21.3483146067,67.4208144796,0.38461538461538464
NU,200.0,22.53846153846154,64.38461538461539,17.076923076923077,42.53846153846154,5.461538461538462,21.846153846153847,11.692307692307692,17.923076923076923,62.23076923076923,12.538461538461538,27.53846153846154,40.07692307692308,13.307692307692308,14.692307692307692,6.769230769230769,2.3846153846153846,9.153846153846153,21.615384615384617,19.153846153846153,-3.1538461538461537,57.0,13.0,4.0,9.0,35.0059737157,40.1446654611,25.0,65.2360515021,0.3076923076923077
ADMU,202.08333333333334,21.333333333333332,65.08333333333333,14.416666666666666,36.75,6.916666666666667,28.333333333333332,12.416666666666666,22.0,62.0,12.25,24.416666666666668,36.666666666666664,15.416666666666666,10.833333333333334,7.0,2.0,9.0,20.416666666666668,21.416666666666668,-8.083333333333334,36.0,12.0,3.0,9.0,32.7784891165,39.2290249433,24.4117647059,56.4393939394,0.25
