TEAM,2PM,2PA,3PM,3PA,FTM,FTA,OFF,DEF,AST,TO,STL,BLK,PF,Fls on:,+/-,GW,GP,MINS,FGM,FGA,FG%,2P%,3P%,FT%,PTS,REB,STK
DLSU,18.23076923076923,42.92307692307692,5.230769230769231,23.384615384615383,11.846153846153847,19.384615384615383,11.615384615384615,26.23076923076923,12.307692307692308,15.23076923076923,9.23076923076923,2.8461538461538463,20.615384615384617,19.153846153846153,-11.76923076923077,11.0,13.0,200.0,23.46153846153846,66.3076923076923,35.3828306265,42.4731182796,22.3684210526,61.1111111111,64.0,37.84615384615385,12.076923076923077
UP,16.166666666666668,40.75,6.333333333333333,23.0,12.833333333333334,20.833333333333332,12.75,25.583333333333332,14.5,17.333333333333332,7.5,2.9166666666666665,21.75,21.083333333333332,-7.75,37.0,12.0,200.0,22.5,63.75,35.2941176471,39.672801636,27.5362318841,61.6,64.16666666666667,38.333333333333336,10.416666666666666
League,17.17,40.25,6.42,24.03,12.0,19.06,12.75,29.33,15.36,15.38,6.89,3.05,20.05,19.73,0.0,80.25,12.5,200.0,23.59,64.28,36.6988176727,42.6583850932,26.7166042447,62.9590766002,65.6,42.08,9.94
UST,18.076923076923077,40.23076923076923,7.6923076923076925,24.76923076923077,13.153846153846153,19.076923076923077,11.76923076923077,29.923076923076923,16.23076923076923,14.538461538461538,6.3076923076923075,3.3076923076923075,19.53846153846154,20.384615384615383,1.0,92.0,13.0,200.0,25.76923076923077,65.0,39.6449704142,44.9330783939,31.0559006211,68.9516129032,72.38461538461539,41.69230769230769,9.615384615384615
UE,15.666666666666666,35.75,6.75,25.583333333333332,12.0,21.25,12.916666666666666,30.083333333333332,16.75,16.0,6.75,3.25,20.833333333333332,20.5,1.6666666666666667,72.0,12.0,200.0,22.416666666666668,61.333333333333336,36.5489130435,43.8228438228,26.3843648208,56.4705882353,63.583333333333336,43.0,10.0
FEU,18.0,46.61538461538461,6.3076923076923075,23.692307692307693,9.23076923076923,15.923076923076923,14.307692307692308,30.692307692307693,16.46153846153846,12.76923076923077,6.6923076923076925,3.230769230769231,18.692307692307693,16.23076923076923,2.3076923076923075,110.0,13.0,200.0,24.307692307692307,70.3076923076923,34.5733041575,38.6138613861,26.6233766234,57.9710144928,64.15384615384616,45.0,9.923076923076923
NU,16.0,38.23076923076923,7.0,25.307692307692307,12.384615384615385,19.153846153846153,14.615384615384615,29.615384615384617,15.076923076923077,16.46153846153846,6.384615384615385,2.8461538461538463,19.53846153846154,21.46153846153846,3.1538461538461537,119.0,13.0,200.0,23.0,63.53846153846154,36.1985472155,41.8511066398,27.6595744681,64.6586345382,65.38461538461539,44.23076923076923,9.23076923076923
AdU,15.083333333333334,37.166666666666664,6.416666666666667,25.083333333333332,11.333333333333334,17.0,11.5,28.583333333333332,15.083333333333334,15.166666666666666,7.916666666666667,2.5833333333333335,17.833333333333332,18.833333333333332,3.75,91.0,12.0,200.0,21.5,62.25,34.5381526104,40.5829596413,25.5813953488,66.6666666667,60.75,40.083333333333336,10.5
ADMU,20.0,39.75,5.583333333333333,21.333333333333332,13.333333333333334,20.083333333333332,12.416666666666666,34.0,16.583333333333332,15.75,4.25,3.4166666666666665,21.75,20.333333333333332,8.083333333333334,110.0,12.0,200.0,25.583333333333332,61.083333333333336,41.8826739427,50.3144654088,26.171875,66.3900414938,70.08333333333333,46.416666666666664,7.666666666666667
