,2PM,2PA,3PM,3PA,FTM,FTA,OFF,DEF,AST,TO,STL,BLK,PF,Fls on:,+/-,GW,GP,MINS,FGM,FGA,FG%,2P%,3P%,FT%,PTS,REB,STK
AdU,170.0,416.0,74.0,277.0,126.0,187.0,132.0,317.0,174.0,164.0,88.0,26.0,202.0,210.0,57.0,91.0,11.0,2200.0,244.0,693.0,35.20923520923521,40.86538461538461,26.71480144404332,67.37967914438502,688.0,449.0,114.0
FEU,198.0,522.0,75.0,254.0,101.0,172.0,152.0,341.0,185.0,139.0,74.0,35.0,212.0,182.0,36.0,98.0,11.0,2200.0,273.0,776.0,35.18041237113402,37.93103448275862,29.52755905511811,58.72093023255814,722.0,493.0,109.0
ADMU,223.0,436.0,60.0,234.0,150.0,225.0,133.0,374.0,185.0,171.0,46.0,35.0,246.0,231.0,86.0,100.0,11.0,2200.0,283.0,670.0,42.23880597014925,51.14678899082569,25.641025641025642,66.66666666666667,776.0,507.0,81.0
UST,210.0,457.0,80.0,262.0,147.0,209.0,126.0,336.0,182.0,159.0,74.0,39.0,215.0,223.0,17.0,78.0,11.0,2200.0,290.0,719.0,40.333796940194716,45.951859956236326,30.53435114503817,70.33492822966507,807.0,462.0,113.0
UP,150.0,396.0,64.0,245.0,134.0,215.0,136.0,252.0,136.0,167.0,70.0,31.0,218.0,211.0,-124.0,11.0,10.0,2000.0,214.0,641.0,33.385335413416534,37.878787878787875,26.122448979591837,62.325581395348834,626.0,388.0,101.0
UE,169.0,388.0,75.0,282.0,124.0,221.0,138.0,332.0,189.0,177.0,74.0,38.0,222.0,223.0,11.0,61.0,11.0,2200.0,244.0,670.0,36.417910447761194,43.55670103092783,26.595744680851062,56.10859728506787,687.0,470.0,112.0
NU,166.0,393.0,71.0,238.0,143.0,210.0,140.0,302.0,160.0,147.0,66.0,31.0,203.0,226.0,54.0,103.0,10.0,2000.0,237.0,631.0,37.5594294770206,42.23918575063613,29.831932773109244,68.0952380952381,688.0,442.0,97.0
DLSU,199.0,463.0,62.0,265.0,129.0,219.0,122.0,284.0,141.0,164.0,108.0,31.0,228.0,217.0,-137.0,11.0,11.0,2200.0,261.0,728.0,35.85164835164835,42.980561555075596,23.39622641509434,58.9041095890411,713.0,406.0,139.0
League,185.625,433.875,70.125,257.125,131.75,207.25,134.875,317.25,169.0,161.0,75.0,33.25,218.25,215.375,0.0,69.125,10.75,2150.0,255.75,691.0,37.01157742402315,42.78305963699222,27.272727272727273,63.57056694813028,713.375,452.125,108.25
