,TEAM,MINS,FGM,FGA,FG%,2PM,2PA,2P%,3PM,3PA,3P%,FTM,FTA,FT%,PTS,OFF,DEF,REB,AST,TO,STL,BLK,STK,PF,Fls on:,+/-,GW,GP
S. Tuano,ADMU,75.21666666670001,18.0,35.0,51.42857142857143,18.0,28.0,64.28571428571429,0.0,7.0,0.0,6.0,22.0,27.272727272727273,42.0,10.0,4.0,14.0,2.0,8.0,4.0,0.0,4.0,5.0,14.0,-26.0,0.0,3.0
J. Bahay,ADMU,68.1166666667,6.0,30.0,20.0,2.0,10.0,20.0,4.0,20.0,20.0,8.0,10.0,80.0,24.0,2.0,9.0,11.0,15.0,4.0,3.0,0.0,3.0,3.0,11.0,-28.0,0.0,3.0
M. Reyes,ADMU,2.4833333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0
I. Espinosa,ADMU,54.6333333333,5.0,17.0,29.41176470588235,5.0,14.0,35.714285714285715,0.0,3.0,0.0,3.0,4.0,75.0,13.0,3.0,8.0,11.0,5.0,2.0,4.0,2.0,6.0,5.0,10.0,-11.0,0.0,3.0
K. Gamber,ADMU,15.2166666667,1.0,4.0,25.0,0.0,1.0,0.0,1.0,3.0,33.333333333333336,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,-13.0,0.0,2.0
K. Ong,ADMU,19.849999999999998,2.0,3.0,66.66666666666667,2.0,3.0,66.66666666666667,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,-5.0,0.0,3.0
S. Quitevis,ADMU,80.86666666670001,1.0,7.0,14.285714285714286,1.0,3.0,33.333333333333336,0.0,4.0,0.0,4.0,4.0,100.0,6.0,2.0,4.0,6.0,9.0,1.0,2.0,0.0,2.0,8.0,4.0,-28.0,0.0,3.0
F. Edu,ADMU,10.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,2.0,9.0,0.0,2.0
K. Porter,ADMU,62.8833333334,7.0,21.0,33.333333333333336,5.0,13.0,38.46153846153846,2.0,8.0,25.0,5.0,9.0,55.55555555555556,21.0,6.0,15.0,21.0,0.0,3.0,1.0,0.0,1.0,6.0,5.0,-17.0,0.0,3.0
W. Espina,ADMU,40.149999999900004,4.0,18.0,22.22222222222222,1.0,7.0,14.285714285714286,3.0,11.0,27.272727272727273,4.0,5.0,80.0,15.0,2.0,3.0,5.0,6.0,2.0,3.0,1.0,4.0,5.0,2.0,4.0,0.0,3.0
C. Koon,ADMU,7.3,1.0,3.0,33.333333333333336,1.0,3.0,33.333333333333336,0.0,0.0,0.0,1.0,2.0,50.0,3.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,-2.0,0.0,1.0
J. Lazaro,ADMU,77.9666666666,15.0,32.0,46.875,14.0,28.0,50.0,1.0,4.0,25.0,4.0,8.0,50.0,35.0,10.0,18.0,28.0,7.0,8.0,1.0,2.0,3.0,7.0,13.0,-44.0,0.0,3.0
A. Balogun,ADMU,27.75,3.0,6.0,50.0,3.0,6.0,50.0,0.0,0.0,0.0,3.0,7.0,42.857142857142854,9.0,3.0,4.0,7.0,2.0,2.0,1.0,4.0,5.0,10.0,5.0,-16.0,0.0,3.0
