,2PM,2PA,3PM,3PA,FTM,FTA,OFF,DEF,AST,TO,STL,BLK,PF,Fls on:,+/-,GW,GP,MINS,FGM,FGA,FG%,2P%,3P%,FT%,PTS,REB,STK
AdU,195.0,479.0,90.0,336.0,144.0,218.0,153.0,374.0,200.0,191.0,102.0,37.0,228.0,241.0,71.0,104.0,13.0,2600.0,285.0,815.0,34.969325153374236,40.7098121085595,26.785714285714285,66.05504587155963,804.0,527.0,139.0
ADMU,257.0,518.0,73.0,285.0,175.0,260.0,168.0,435.0,208.0,200.0,55.0,44.0,280.0,263.0,93.0,110.0,13.0,2600.0,330.0,803.0,41.0958904109589,49.61389961389961,25.614035087719298,67.3076923076923,908.0,603.0,99.0
DLSU,260.0,608.0,72.0,322.0,159.0,262.0,160.0,364.0,172.0,209.0,128.0,40.0,292.0,259.0,-144.0,25.0,14.0,2800.0,332.0,930.0,35.69892473118279,42.76315789473684,22.36024844720497,60.68702290076336,895.0,524.0,168.0
FEU,252.0,655.0,96.0,345.0,128.0,221.0,208.0,422.0,232.0,176.0,99.0,43.0,265.0,227.0,38.0,124.0,14.0,2800.0,348.0,1000.0,34.8,38.47328244274809,27.82608695652174,57.918552036199095,920.0,630.0,142.0
NU,227.0,535.0,92.0,353.0,174.0,276.0,214.0,415.0,210.0,236.0,87.0,40.0,264.0,303.0,32.0,119.0,14.0,2800.0,319.0,888.0,35.92342342342342,42.429906542056074,26.062322946175637,63.04347826086956,904.0,629.0,127.0
UE,226.0,505.0,95.0,360.0,174.0,306.0,187.0,418.0,238.0,221.0,91.0,45.0,294.0,286.0,34.0,97.0,14.0,2800.0,321.0,865.0,37.10982658959538,44.75247524752475,26.38888888888889,56.86274509803921,911.0,605.0,136.0
UP,230.0,566.0,87.0,315.0,194.0,305.0,174.0,362.0,207.0,241.0,100.0,42.0,299.0,300.0,-111.0,37.0,14.0,2800.0,317.0,881.0,35.98183881952327,40.63604240282685,27.61904761904762,63.60655737704918,915.0,536.0,142.0
UST,242.0,549.0,109.0,363.0,179.0,264.0,172.0,414.0,224.0,202.0,85.0,48.0,269.0,279.0,-13.0,92.0,14.0,2800.0,351.0,912.0,38.48684210526316,44.080145719489984,30.02754820936639,67.8030303030303,990.0,586.0,133.0
League,236.125,551.875,89.25,334.875,165.875,264.0,179.5,400.5,211.375,209.5,93.375,42.375,273.875,269.75,0.0,88.5,13.75,2750.0,325.375,886.75,36.6929799830843,42.785956964892414,26.651735722284435,62.83143939393939,905.875,580.0,135.75
