TEAM,MINS,FGM,FGA,2PM,2PA,3PM,3PA,FTM,FTA,PTS,OFF,DEF,REB,AST,TO,STL,BLK,STK,PF,Fls on:,+/-,GP,W,L,FG%,2P%,3P%,FT%
ADMU,203.125,21.75,64.75,14.375,35.25,7.375,29.5,13.0,23.125,63.875,11.625,25.0,36.625,16.625,10.125,7.0,2.5,9.5,22.125,22.5,-5.75,8.0,2.0,6.0,33.5907335907,40.780141844,25.0,56.2162162162
AdU,203.125,20.625,61.0,13.875,38.375,6.75,22.625,12.25,18.375,60.25,12.5,31.875,44.375,14.625,15.875,6.25,5.0,11.25,20.375,18.5,-3.625,8.0,3.0,5.0,33.8114754098,36.1563517915,29.8342541436,66.6666666667
DLSU,202.77777777777777,27.77777777777778,68.33333333333333,19.555555555555557,43.888888888888886,8.222222222222221,24.444444444444443,14.0,21.666666666666668,77.77777777777777,17.0,33.666666666666664,50.666666666666664,21.444444444444443,18.88888888888889,7.333333333333333,3.5555555555555554,10.88888888888889,19.555555555555557,20.77777777777778,10.777777777777779,9.0,8.0,1.0,40.6504065041,44.5569620253,33.6363636364,64.6153846154
FEU,205.55555555555554,23.0,66.44444444444444,19.444444444444443,47.0,3.5555555555555554,19.444444444444443,12.333333333333334,18.22222222222222,61.888888888888886,13.333333333333334,32.77777777777778,46.111111111111114,12.11111111111111,14.777777777777779,6.222222222222222,3.7777777777777777,10.0,17.333333333333332,19.444444444444443,-3.888888888888889,9.0,3.0,6.0,34.615384615400004,41.3711583924,18.2857142857,67.6829268293
NU,200.0,23.666666666666668,66.22222222222223,18.555555555555557,44.888888888888886,5.111111111111111,21.333333333333332,11.555555555555555,17.555555555555557,64.0,13.11111111111111,27.555555555555557,40.666666666666664,13.777777777777779,13.222222222222221,5.777777777777778,2.4444444444444446,8.222222222222221,23.0,19.22222222222222,-4.222222222222222,9.0,2.0,7.0,35.7382550336,41.3366336634,23.9583333333,65.8227848101
UE,200.0,21.875,58.25,15.125,36.75,6.75,21.5,13.75,22.375,64.25,9.75,26.625,36.375,13.125,13.5,7.375,2.875,10.25,21.125,22.125,-1.375,8.0,5.0,3.0,37.5536480687,41.156462585,31.3953488372,61.4525139665
UP,200.0,28.25,64.625,22.0,44.5,6.25,20.125,12.875,20.375,75.625,12.375,31.875,44.25,18.5,15.375,6.875,4.5,11.375,22.25,22.25,10.625,8.0,7.0,1.0,43.7137330754,49.4382022472,31.0559006211,63.1901840491
UST,202.77777777777777,26.333333333333332,66.88888888888889,18.666666666666668,38.55555555555556,7.666666666666667,28.333333333333332,11.555555555555555,18.0,71.88888888888889,11.333333333333334,27.666666666666668,39.0,17.666666666666668,14.0,8.0,1.5555555555555556,9.555555555555555,21.0,19.666666666666668,-2.5555555555555554,9.0,4.0,5.0,39.3687707641,48.4149855908,27.0588235294,64.1975308642
League,202.2058823529412,24.220588235294116,64.70588235294117,17.779411764705884,41.294117647058826,6.4411764705882355,23.41176470588235,12.647058823529411,19.897058823529413,67.52941176470588,12.691176470588236,29.676470588235293,42.36764705882353,16.0,14.514705882352942,6.852941176470588,3.25,10.102941176470589,20.808823529411764,20.514705882352942,0.0,8.5,4.25,4.25,37.4318181818,43.0555555556,27.5125628141,63.5624538064
