TEAM,OFF,DEF,NET,PACE,hAST%,hTO%,TOR,AR,STL%,BLK%,EFG%,TS%,PPWS,REB%,OREB%,DREB%,FTR,FFI,Py-W,Py-L,PPR,HHI
DLSU,73.11050563323286,61.75425450441599,11.356251128816872,77.7274381906,18.362855324565125,15.976347051336445,23.850601499301685,27.413346951479532,9.30272423624215,7.526881720430108,46.56357388316151,49.72336644859058,0.9944673289718117,56.22775800711744,37.20073664825046,74.01032702237522,0.30584192439862545,36.615856123719496,11.866217362874433,1.1337826371255666,-2.044522820074731,0.11662758638460151
UP,70.90621127844112,63.2651016041711,7.6411096742700195,76.0687942953,16.118086189345096,15.732486041274639,22.3481917354994,22.895941532938114,10.078596272872279,9.406952965235174,45.87096774193548,48.829893173999636,0.9765978634799927,53.34685598377282,34.680851063829785,70.34883720930233,0.31870967741935485,35.65225040470532,9.960760181042817,2.039239818957183,-2.622967292318852,0.09113295531903182
League,66.40570205468234,66.40570205468234,0.0,74.0508715309,14.854012904423712,14.87335406705968,20.758530439045007,20.7315362512179,9.299497706438238,7.577639751552795,41.692594897324206,45.13778032212962,0.9027556064425925,50.0,30.299429657794676,69.70057034220532,0.2965152457996266,32.374285187244276,6.25,6.25,-2.5508684863523574,0.010285829970872844
UST,70.99626352829792,71.99082325444864,-0.994559726150726,75.4102524242,15.790236129219181,13.689700130378098,19.27915776846021,22.23733541547262,9.48656969559153,5.162523900573614,44.585253456221196,47.658175842235,0.9531635168447,49.39309056956116,29.143897996357012,70.6896551724138,0.2764976958525346,32.63013586166295,5.873055197676274,7.126944802323726,-1.6335051684138335,0.13154912306777644
UE,64.51784152330043,66.25452635569077,-1.7366848323903383,71.9762144913,13.58695652173913,15.231237884242592,20.37710203337977,18.177301245685364,9.609656072559778,7.6923076923076925,41.52777777777778,45.16607498905802,0.9033214997811604,46.58385093167702,26.175869120654397,67.50524109014675,0.3236111111111111,31.794727110253596,4.904008158085766,7.095991841914234,-3.0578941598223053,0.1257768785017272
FEU,62.50806504792529,64.84045553478818,-2.3323904868628844,74.2058090409,11.690149510859534,15.074140158739924,20.317712685561126,15.756593511251484,8.085620354458,8.745874587458745,38.30409356725146,42.216248004704696,0.844324960094094,50.38167938931298,29.876977152899823,69.50819672131148,0.2584795321637427,30.253654011326976,4.878793434953319,8.12120656504668,-3.5648682282766244,0.14881129179970792
NU,64.1332658167171,67.38353021533935,-3.2502643986222495,72.7751445817,13.27175647477599,14.65263287099546,20.18863415079187,18.286040356476406,9.301569661097824,6.237424547283702,39.247311827956985,43.05389986376022,0.8610779972752044,47.53649635036496,29.744525547445257,65.32846715328468,0.27837514934289126,30.870615618513185,4.349157157967901,8.650842842032098,-2.961272351935209,0.10039558062036942
AdU,59.33083569623151,63.23418014993096,-3.9033444536994466,72.0535948944,13.942405191644696,17.82937876022443,24.40313125127651,19.08301732919727,8.905408086958726,10.986547085201794,38.73435326842837,42.35608837808382,0.8471217675616763,51.75526579739218,29.278350515463917,73.046875,0.2795549374130737,31.64351828447937,3.5025199043169026,8.497480095683098,-4.280397991564126,0.1145608905304196
ADMU,64.41359962598796,72.81160925464499,-8.398009628657036,72.1897243284,15.262011615628301,10.724656810982049,15.006752601036622,21.355763316859807,9.696670911439048,5.031446540880503,38.0921895006402,41.46417584377369,0.8292835168754737,44.132397191574725,26.486486486486488,66.289592760181,0.3380281690140845,29.3562837830238,1.846261474089588,10.153738525910413,-0.2820017405755084,0.10834345010983928
