TEAM,MINS,FGM,FGA,2PM,2PA,3PM,3PA,FTM,FTA,PTS,OFF,DEF,REB,AST,TO,STL,BLK,STK,PF,Fls on:,+/-,GW,GP,W,L,FG%,2P%,3P%,FT%
ADMU,1825.0,197.0,589.0,131.0,330.0,66.0,259.0,118.0,209.0,578.0,110.0,226.0,336.0,146.0,88.0,66.0,20.0,86.0,194.0,201.0,-43.0,36.0,9.0,3.0,6.0,33.446519524618,39.696969696969695,25.482625482625483,56.45933014354067
AdU,1825.0,182.0,542.0,125.0,344.0,57.0,198.0,106.0,170.0,527.0,111.0,280.0,391.0,125.0,145.0,61.0,43.0,104.0,178.0,169.0,-54.0,43.0,9.0,3.0,6.0,33.579335793357934,36.33720930232558,28.78787878787879,62.35294117647059
DLSU,2025.0,274.0,672.0,190.0,425.0,84.0,247.0,138.0,208.0,770.0,159.0,334.0,493.0,217.0,191.0,74.0,35.0,109.0,197.0,202.0,122.0,117.0,10.0,9.0,1.0,40.773809523809526,44.705882352941174,34.008097165991906,66.34615384615384
FEU,1850.0,207.0,598.0,175.0,423.0,32.0,175.0,111.0,164.0,557.0,120.0,295.0,415.0,109.0,133.0,56.0,34.0,90.0,156.0,175.0,-35.0,32.0,9.0,3.0,6.0,34.61538461538461,41.371158392434985,18.285714285714285,67.6829268292683
NU,1800.0,213.0,596.0,167.0,404.0,46.0,192.0,104.0,158.0,576.0,118.0,248.0,366.0,124.0,119.0,52.0,22.0,74.0,207.0,173.0,-38.0,29.0,9.0,2.0,7.0,35.738255033557046,41.336633663366335,23.958333333333332,65.82278481012658
UE,1600.0,175.0,466.0,121.0,294.0,54.0,172.0,110.0,179.0,514.0,78.0,213.0,291.0,105.0,108.0,59.0,23.0,82.0,169.0,177.0,-11.0,56.0,8.0,5.0,3.0,37.55364806866953,41.156462585034014,31.3953488372093,61.452513966480446
UP,1600.0,226.0,517.0,176.0,356.0,50.0,161.0,103.0,163.0,605.0,99.0,255.0,354.0,148.0,123.0,55.0,36.0,91.0,178.0,178.0,85.0,100.0,8.0,7.0,1.0,43.7137330754352,49.438202247191015,31.055900621118013,63.190184049079754
UST,2025.0,260.0,665.0,185.0,382.0,75.0,283.0,116.0,176.0,711.0,114.0,285.0,399.0,178.0,143.0,75.0,20.0,95.0,210.0,194.0,-26.0,50.0,10.0,4.0,6.0,39.097744360902254,48.42931937172775,26.501766784452297,65.9090909090909
League,1818.75,216.75,580.625,158.75,369.75,58.0,210.875,113.25,178.375,604.75,113.625,267.0,380.625,144.0,131.25,62.25,29.125,91.375,186.125,183.625,0.0,57.875,9.0,4.5,4.5,37.33046286329387,42.93441514536849,27.504445761707174,63.489838822704975
