TEAM,2PM,2PA,3PM,3PA,FTM,FTA,OFF,DEF,AST,TO,STL,BLK,PF,Fls on:,+/-,GW,GP,MINS,FGM,FGA,FG%,2P%,3P%,FT%,PTS,REB,STK
UP,17.666666666666668,43.0,4.0,21.0,17.333333333333332,31.0,15.0,23.333333333333332,13.333333333333334,13.333333333333334,7.333333333333333,3.3333333333333335,25.0,25.333333333333332,-17.666666666666668,0.0,3.0,200.0,21.666666666666668,64.0,33.8541666667,41.0852713178,19.0476190476,55.9139784946,64.66666666666667,38.333333333333336,10.666666666666666
DLSU,20.0,45.666666666666664,3.3333333333333335,22.666666666666668,12.666666666666666,18.333333333333332,13.666666666666666,26.0,15.0,14.666666666666666,9.333333333333334,2.3333333333333335,17.666666666666668,18.666666666666668,-15.333333333333334,0.0,3.0,200.0,23.333333333333332,68.33333333333333,34.1463414634,43.795620438,14.7058823529,69.0909090909,62.666666666666664,39.666666666666664,11.666666666666666
UST,16.75,38.0,5.75,23.0,12.25,17.0,9.25,28.75,15.0,12.5,5.0,3.0,20.25,20.5,-3.75,14.0,4.0,200.0,22.5,61.0,36.8852459016,44.0789473684,25.0,72.0588235294,63.0,38.0,8.0
League,18.035714285714285,41.17857142857143,5.571428571428571,23.214285714285715,12.5,19.607142857142858,13.107142857142858,29.857142857142858,16.75,14.214285714285714,6.714285714285714,3.0357142857142856,20.928571428571427,20.785714285714285,0.0,23.75,3.5,200.0,23.607142857142858,64.39285714285714,36.661120355,43.7987857762,24.0,63.752276867,65.28571428571429,42.964285714285715,9.75
AdU,14.25,36.5,8.0,29.0,8.75,14.25,11.5,29.0,18.5,12.25,8.25,0.75,18.75,18.0,3.5,27.0,4.0,200.0,22.25,65.5,33.9694656489,39.0410958904,27.5862068966,61.4035087719,61.25,40.5,9.0
FEU,15.666666666666666,42.666666666666664,5.666666666666667,22.666666666666668,10.666666666666666,18.333333333333332,14.0,31.333333333333332,15.333333333333334,13.666666666666666,9.0,5.0,18.666666666666668,19.333333333333332,6.333333333333333,43.0,3.0,200.0,21.333333333333332,65.33333333333333,32.6530612245,36.71875,25.0,58.1818181818,59.0,45.333333333333336,14.0
UE,18.333333333333332,40.666666666666664,7.0,23.333333333333332,9.666666666666666,18.666666666666668,12.666666666666666,32.333333333333336,20.333333333333332,15.0,5.333333333333333,3.6666666666666665,23.333333333333332,20.333333333333332,6.666666666666667,28.0,3.0,200.0,25.333333333333332,64.0,39.5833333333,45.0819672131,30.0,51.7857142857,67.33333333333333,45.0,9.0
ADMU,22.0,42.5,4.0,20.75,13.0,19.5,14.0,34.75,17.0,15.5,3.75,3.0,24.75,21.25,7.5,39.0,4.0,200.0,26.0,63.25,41.1067193676,51.7647058824,19.2771084337,66.6666666667,69.0,48.75,6.75
NU,19.5,42.25,6.25,22.5,15.75,21.75,15.5,31.75,18.75,16.75,6.75,3.75,19.25,23.0,7.75,39.0,4.0,200.0,25.75,64.75,39.7683397683,46.1538461538,27.7777777778,72.4137931034,73.5,47.25,10.5
